Temps,tribo_f1,tribo_f2,tribo_f3,tribo_f4,tribo_f5,tribo_f6,tribo_f7,tribo_f8,tribo_f9,tribo_f10,diff_tribo_f1,diff_tribo_f2,diff_tribo_f3,diff_tribo_f4,diff_tribo_f5,diff_tribo_f6,diff_tribo_f7,diff_tribo_f8,diff_tribo_f9,diff_tribo_f10,tribo_feature1,tribo_feature2,tribo_feature3,tribo_feature4,tribo_feature5
4.000000476837158,1905.4107555080645,881.1083652906742,661.3902459570148,556.7452487960912,113.32193226479772,341.12408396769484,370.815106682705,205.3076214062265,165.54142515178157,933.2659469601882,200.02358446155478,182.75608502053367,215.50204506807802,240.95842981570465,61.84118857582936,269.7684836104659,287.5261089084265,286.65471168146047,134.20607553302892,1220.225677172128,130.3846153846154,7630,163.761040314348,5255.372465898173,2383.000593899861
4.166773557662964,1651.923442453562,575.5417139278354,814.3725187402405,335.08365734718484,570.4300843509486,497.30806454516477,69.80364915959495,320.5265254767738,200.88379361466565,869.8308419928569,86.14368253114183,103.05151066664648,147.15851296492082,128.56769490836973,177.35196718275373,192.62712143052204,196.48500628851124,543.8759338927052,244.14729405318792,987.7671719953668,119.56593406593404,6678,140.9192197128986,5612.652712760205,1961.6135048138094
4.298718690872192,1481.585191690859,571.1230294863494,636.1056293467559,334.91057694954617,443.826799176718,441.63879893350895,451.6464353651771,567.882877368494,314.16861588296706,441.17119101351636,97.72209850690068,42.577068647135604,171.90022461873042,80.91584059374719,222.76155625263416,285.65427294592206,330.4218727100275,563.0669944590276,267.88139459277556,762.3418136135087,129.71428571428572,6070,123.64399916933834,5613.6114508401115,1767.7826963076532
4.415044784545898,1347.2214841585514,646.6162565198573,370.5068239769935,409.340907707053,63.83071905687397,72.96006009828379,218.36537529446568,391.9900862448716,41.30339836230009,697.8254812541003,152.26754658782366,155.71257908808664,232.69185654471596,110.57473181651535,331.7236383394012,407.84171961165987,285.8622953598361,444.3791706431451,296.14863342680485,647.4604074530472,113.71428571428572,5646,119.002003330964,5953.657733611348,1871.6116768998932
4.532062768936157,1217.1055238732467,873.1460303583078,308.0557679366812,576.2253662350387,497.94679536727534,585.1732489143574,310.74187987797904,302.07434221926087,391.49379218786447,307.68993794986034,146.427002974921,226.24650150552873,96.72608334999077,314.322277634019,333.93363518300447,486.5332787858704,282.76965178192665,308.1073731966701,502.6115866681955,440.45864456334726,128.71428571428572,5823,117.33214425985771,5732.541657402699,1851.5001272598283
4.64846658706665,1111.6172778568334,882.1651227113388,384.2283145133657,327.4255306324842,379.45386122148307,307.766174128524,47.729634410842635,112.97697705075949,357.28160794411855,455.8601866275713,55.76058751236848,86.80307177729199,42.49869802183766,204.6039338833102,205.81348389361506,363.3105399834351,165.2588326086556,187.80904451334064,448.30147550546616,549.679338588541,122.5761904761905,5562,129.99608608212642,6400.320996976207,2125.55139550278
4.76473593711853,1025.4264732374393,847.4784735302205,522.2802448990506,64.34242599405856,97.62359619300106,263.94356305874237,308.51182446263044,243.14079887138556,570.8499461620303,180.99894189180907,46.16038786275805,144.68759877224412,117.20804296547455,94.6661718097267,102.16422918638641,236.7474604533379,194.42368189911423,157.2004381832054,679.619169781124,301.7150149890251,127.56190476190477,5159,105.16714422420091,5554.805872793246,1736.7098526532495
4.881477355957031,954.8334337441661,730.9633643229215,522.530619178538,305.6908710790473,198.8258355041939,456.6955663139397,189.1740403932675,114.20463727289143,425.5071738808418,305.97645115928026,47.369245337628826,141.6114755874765,135.77973366298096,124.21322572609768,104.53800866529761,302.4666481849778,175.02988583661354,129.65731252021777,617.9818784132938,359.1896517431623,130.79999999999998,4830,114.73951873423451,5639.332292781071,1758.2072741411653
4.997812271118164,886.9172691060669,523.2774456031561,410.85963394592443,481.91628564916846,393.1572283713107,266.5473138092655,195.72609285168014,233.66709686401458,638.0678634929429,220.5060818505071,92.62164185911074,128.73295420838986,148.84803249490162,252.53928702362822,255.61322516416155,224.05820764308035,186.7111753975696,240.04989186870793,784.9495685682153,308.28144399036887,124.33333333333331,4450,102.35519861961471,5632.681436794874,1729.4407700017096
5.113730192184448,867.2522273799054,263.19665086615674,272.3881671324857,452.4023145378115,322.02314239694397,324.958727006916,365.60935585408265,200.86839757706036,454.48258775233364,213.06773707798462,181.0371236791961,126.72770156676194,172.02850280448507,319.83699325051384,283.2575458207758,330.83619743249403,417.16205083135355,260.11577554578173,609.2141735568251,291.04407305533954,121.33333333333334,4669,97.35098768279144,5841.001490421095,1709.6954636709083
5.231078147888184,870.3185645997022,258.0066199346357,247.94881049834987,235.85720676522294,75.35087868156373,331.13320868663953,171.35503566909392,186.40798388552378,417.59216983769926,349.3511989688089,11.86100770179719,71.76593304773817,32.23994918410607,182.7692654428196,184.14982851836697,178.65078749092407,324.1960075194968,253.5653832461869,505.6479339313136,399.9905417345014,120.40416666666667,4395,117.73004408033768,5621.141420866,1850.1011798293216
5.3476173877716064,874.7848577106134,354.81682035576705,267.6689902285182,109.00347964513693,249.01989125425956,94.38741730187697,405.5148876614486,313.10987502834905,375.1756611800313,227.9841159507028,28.437964992905428,50.448728326649906,24.237012746356417,154.50113074985822,174.02048658045078,162.49554642351657,338.8785935758492,263.6691172232761,517.0710725542502,365.0039062805256,118.7,4116,108.837168519334,5486.317568352477,1798.0001553754687
5.463625192642212,879.8053808863926,397.6596759532004,290.4865600752614,194.8645588597205,333.9003132710654,56.43431582771582,452.61195005880825,267.8913569721612,491.97692673573334,164.77029789413794,116.6489215328733,102.50557915244968,116.68684804786096,103.68530861091165,234.6367364021641,44.0987276215124,469.31748135345896,331.3515256327167,627.8990560656307,217.5236940759459,121.14583333333334,4400,124.74574339021348,6142.9644450219175,2058.3359969447997
5.578877925872803,845.5865845450749,417.4469365522111,213.4529274669791,315.3289051444435,252.23379037350034,228.8021425354957,283.89829551988163,318.64289905455297,304.93126107992,245.37115243585018,37.20976980758782,14.667133139524912,80.45541460302935,66.34549578434776,193.3980582257663,79.1300171290446,403.1284874780224,290.8475090789019,491.7302955851042,359.4662002943073,123.82499999999999,4204,146.1819594924167,5765.756401382246,2221.161784900715
5.692594766616821,769.2591505592653,379.60962224744696,88.74347966981539,251.8687034565395,125.34419906367133,115.20474400882075,469.6486006804189,256.206108537755,429.9037921097147,284.6139471045815,69.25354831087726,66.3356678955528,31.801647480111644,135.76167962025366,119.06629712227493,130.92318703552093,444.95210073169096,353.72299838659814,568.555526090211,344.469905127634,120.53333333333333,4233,138.02135808508737,6086.447578442886,2279.406344321306
5.8063600063323975,727.1596883459247,360.89370225615977,160.74099994370042,151.2473898142857,324.24258687375243,107.86962656959311,339.43670388216003,263.7650581905312,195.2822314248707,222.05277225618318,139.90635308803695,137.73912690489547,104.9947790996285,99.49947075954319,278.1428092634881,127.59431775747048,332.9194311445525,339.26995274598517,265.6113937645739,295.5273436904847,127.73750000000001,4205,136.78686284563287,6502.194662329928,2289.48738428675
