tribo_f1,tribo_f2,tribo_f3,tribo_f4,tribo_f5,tribo_f6,tribo_f7,tribo_f8,tribo_f9,tribo_f10,diff_tribo_f1,diff_tribo_f2,diff_tribo_f3,diff_tribo_f4,diff_tribo_f5,diff_tribo_f6,diff_tribo_f7,diff_tribo_f8,diff_tribo_f9,diff_tribo_f10,tribo_feature1,tribo_feature2,tribo_feature3,tribo_feature4,tribo_feature5,Temps
998.0237336330845,389.8368280416743,782.8423405969238,337.0914702303381,1916.8156918773363,347.0421557350552,424.72497844322123,1259.373796045567,549.0252264020212,329.5247083943546,288.56657743149356,420.0950592539536,192.74941747200577,430.543923825521,1231.0583553684203,482.0811214554515,663.0163293834026,1417.2679987403112,478.0241503981039,142.36199423529953,145.10909090909092,4869,197.40573315008132,9105.454993535524,3109.5901822284795,4.000000238418579
998.0237336330845,389.8368280416743,782.8423405969238,337.0914702303381,1916.8156918773363,347.0421557350552,424.72497844322123,1259.373796045567,549.0252264020212,329.5247083943546,288.56657743149356,420.0950592539536,192.74941747200577,430.543923825521,1231.0583553684203,482.0811214554515,663.0163293834026,1417.2679987403112,478.0241503981039,142.36199423529953,145.10909090909092,4869,197.40573315008132,9105.454993535524,3109.5901822284795,4.1001646518707275
731.4334227251846,656.275426504768,923.9491150117177,183.89430012975512,1662.378377716495,192.65575310314455,724.0933631514291,1462.8800907676655,279.2705191874012,238.3367460576072,273.15025016600697,401.090156287622,189.5182557567726,413.2822132430673,1249.4025518468836,465.290588500031,638.6634699134075,1418.3265071438125,498.2535524765271,179.71599891165909,141.57272727272726,4568,200.7094004650687,9142.984319019572,3144.1990387827755,4.200199842453003
568.2467120424618,838.2542765851238,967.5362632311652,335.60259537217,1484.987929763361,362.0977017146774,812.4028162414314,1385.3501791856218,210.40995358687655,65.83077831804813,91.5999799501114,262.97433411768304,456.9956438576061,206.86949940794412,1133.5093275272266,329.73368243481787,854.2321936685511,1631.5788659836794,269.13513510837134,92.96749680059159,148.9,4387,198.86068483860274,9464.81082238367,3127.1862286104197,4.300386190414429
589.2615324302429,817.3530535476195,972.7761924577743,314.4911383477081,1493.6879482814654,347.62574889516526,827.6798615224849,1407.463405423278,186.95024614702973,77.1395267683777,89.16058688415858,248.45709267279227,437.5346367985118,185.8190203982153,1160.9195788954678,299.18155808129995,855.8257000738229,1665.5221454246337,234.40043107668438,126.60921755203145,152.37777777777777,4406,210.381557385613,9448.651773224323,3120.5747633918636,4.400635719299316
509.83010994577455,884.6113135937726,926.2857394488431,371.2996985094644,1516.1907385889135,347.2852665935381,746.5120348714335,1392.5120607965205,221.6886556092945,142.35291722211718,92.2696494148284,300.9006485013188,458.1218507168243,259.7350454663378,1132.6724628135182,349.13185301709717,761.6888664390038,1604.490945201536,323.19753669390434,212.03998999041232,147.83333333333334,4330,201.83960410143584,9506.552146037293,3061.2033304638226,4.500750541687012
886.4980130118138,703.0699884810745,1264.1259046160865,458.06198941265,1201.6860701999558,670.2396526216935,969.0245486020378,1083.226739341677,551.8811439352668,331.0851685784064,387.47067506093987,585.2484786676306,742.7529338800196,575.1249716032772,888.6778672317698,683.5426072534261,665.809281060571,1289.6945567509265,673.1752596659582,475.56200226306805,143.6,4699,209.18396154198888,9822.385341328161,3342.233966034619,4.600819826126099
1608.7355055934318,1025.0483263345748,1987.456055169947,1171.2188776963646,487.12497707042263,1341.5705126854343,1035.4717141962049,583.1821421734389,1096.0756395339215,906.3781874698924,718.6521834601888,928.1943740375509,997.6236326440641,903.4887601329875,981.4869030215356,906.8456821920458,383.0772855017882,1383.2899797527757,817.4754983502494,706.5416147640353,143.6,5436,212.5471771226999,10110.703051655317,3660.1278972385767,4.701045036315918
1774.3361361367558,1180.2647494880098,2136.0014391788372,1320.607017365323,427.85089405528885,1410.243210466398,943.8374657767744,720.3515606457346,1058.289547924276,865.1811350747643,284.116665784473,365.60417923687305,1009.668106556496,829.3426169187095,309.1983048375224,1299.1991957296434,995.6456733148984,848.7296570915166,1386.8309689589146,1234.514542696398,196.70000000000002,5597,233.9587355119078,9341.632430233773,4094.9683938339945,4.801286220550537
2443.8929026602036,1880.4975197793224,2607.6997169972938,1762.692017804697,1009.0721988137382,1262.4232934565837,240.44503996764726,1337.213867107852,350.07948468373235,195.81601012318424,699.008657208649,877.6852093793278,745.4862996779932,591.9608152815086,1036.669847320549,568.426010398959,901.688160188765,1042.0317894423974,1072.0604945756463,1000.4688399030034,179.14545454545458,6292,282.302325363594,19047.775362451517,4759.436853500345,4.901476621627808
