tribo_f1,tribo_f2,tribo_f3,tribo_f4,tribo_f5,tribo_f6,tribo_f7,tribo_f8,tribo_f9,tribo_f10,diff_tribo_f1,diff_tribo_f2,diff_tribo_f3,diff_tribo_f4,diff_tribo_f5,diff_tribo_f6,diff_tribo_f7,diff_tribo_f8,diff_tribo_f9,diff_tribo_f10,tribo_feature1,tribo_feature2,tribo_feature3,tribo_feature4,tribo_feature5,Temps
2296.6211787706293,2329.6976402464115,2838.7527878714727,1635.7342884870386,1765.9818514784774,496.3538102481849,222.23553746380315,371.52802752926925,459.32246950324964,458.1301259874242,499.18610774405107,879.7628530213851,1300.6094768641892,849.5864828181358,1226.8877713986474,525.2158649952274,174.37541997938803,562.2582664940604,436.6138041714506,756.5427039893231,182.10000000000002,7130,214.28635883374005,10896.12997904572,3609.3279226351974,4.000000238418579
2408.713654768998,2289.556098167446,2982.104028449946,1619.8175466540226,1627.6609807643274,402.4362540384853,306.76098979793943,530.8316008478482,343.67699685538616,467.06924624444457,432.2480434803694,794.8905591074905,1345.4390320075681,927.6430555991698,1235.445721128981,444.12044013714694,245.62738343324173,587.9868832451898,434.53273551428947,707.4510399134195,178.1888888888889,6965,209.25625164761175,10996.114128717534,3522.652835944714,4.100111246109009
1858.0912964772428,2341.414970029002,2591.3173335627453,2150.085890871374,2343.466104127934,663.1478041638668,867.4002758930303,714.4328570114315,1049.8390404894787,291.21638647842497,488.67106649255027,104.49803598998872,1840.4345795266788,1646.4529007660094,1557.2108756319974,324.3301717115651,1001.1289846889546,1119.4394950283138,977.8911213153981,590.2280567777508,204.25555555555553,7694,201.08611316660853,11727.462706820417,4207.049132512025,4.200303077697754
1525.709986126767,2347.7419480462395,2640.6895462365655,2611.9685431153443,2640.7710710477395,827.3056449505075,1244.2972114553338,1138.5547217558162,1149.7325565317044,614.6134012760459,440.0515106040971,160.40583714853,1773.5557916502592,1539.893093160975,1499.8829321369242,207.87822487860353,852.6074174998722,939.8809228663828,953.6616400846424,370.94004340063805,254.0,8172,269.3842921635349,11657.04394461461,4436.599281454681,4.300370693206787
1155.955341116513,2303.994771924674,3025.5920602039896,3095.871854276132,2697.288145101418,861.1689183877872,1364.048768210835,1286.795277009516,747.6266187733742,638.3841603357661,470.55383220868293,135.45803565839876,1793.9827504752582,1520.7484083697336,1472.704568612158,182.42185208292736,827.6422890308768,917.2054779548105,970.7891368458629,365.57127576353156,242.1888888888889,8711,240.6487228260999,11696.907293653165,4310.596975038299,4.400397062301636
902.607424285882,2217.7245077791968,3607.9022968962854,3384.30688833762,2409.591960111739,740.3689950388248,1075.6256350288281,948.5995389115695,311.98470705118865,285.8423834737382,489.9891880547471,126.55206826324888,1799.1652898905502,1497.816161567717,1462.3810947745767,178.34613374747866,821.0391600008945,913.6810052323458,1011.7042938848595,391.6912085189789,231.5666666666667,9353,244.24511317457643,11737.586457308924,4351.580886745015,4.500548601150513
868.3924727820366,2172.2777261396814,3778.1682622649023,3388.298008018239,2254.8193832662573,645.6410268719408,911.4153624365656,776.7387117040464,466.7745816090852,128.01501624346298,28.81816086674009,546.9967156836594,1703.85099617891,1953.8923522344726,1725.2649491103155,521.415548328788,1002.3748905043602,1007.1423479453736,558.6160228941823,266.4184259433495,255.9,9494,279.163356816253,11236.604671997738,4833.6900102073605,4.600776672363281
873.4491323327304,2182.174234574036,3760.6054553160548,3397.7148563810424,2275.3897277301394,665.0970562547311,928.9818484845398,789.077358052704,452.7327677445343,143.43654486128372,136.76573608442575,682.498044565956,1755.538255847857,2099.7161032129593,1741.7202193730184,604.0128943242312,971.0921085183028,927.9178001295734,587.7531689881092,203.15639396744504,237.33333333333334,9488,323.01671704627813,20152.884674761874,5050.620777694816,4.700981140136719
810.7799436334343,2042.3871212303418,3838.1073971866117,3221.941760602731,2201.1556512645766,558.8558726950631,1004.9389744686845,943.1857434598373,310.8477506284004,316.6526963069827,67.12072116301067,604.3403091586431,1726.781971791115,1990.7058331439043,1751.3952649248263,574.1603938348187,1083.946191563685,1103.8728690363344,398.67329365563285,416.586197935823,289.34444444444443,9677,329.7376569617778,18706.574655920187,5206.725297914794,4.801126718521118
857.4329476486672,2139.6561054458857,3841.5971683820903,3325.00430766532,2160.4291638342315,519.6978606504064,897.0033097474488,864.4573547255682,408.7117895027076,309.3820614277206,134.50404856455992,669.4188858066358,1793.5567569328819,2054.994485376384,1653.5578888374278,471.91308297290067,937.3368332642748,1016.179525358045,530.9204220630579,437.50065042164636,244.03333333333333,9555,340.8483170021865,18865.768759214767,5312.619947747207,4.901183128356934
674.0549730925908,1593.0695659002592,3599.536663768436,3015.5431562385747,2674.3833677269386,1055.8699849506484,1234.2556678221952,776.2179640641765,765.3764689823881,253.64126776568096,420.9341490148219,733.4086942890082,1291.4103892861476,2381.701641379952,2079.37354989001,942.4876661944746,799.8143608665682,493.60701266547153,1041.809569349938,416.02203625846596,305.7888888888889,10121,352.38750619075813,21361.948530730002,5715.554068346757,5.001292943954468
999.2214757294081,791.4538997435534,3014.2202387922002,3220.584833314716,3434.70909287523,1740.3761439541772,1286.5511055395011,381.08939364388556,1432.0885158137876,884.3292667713685,756.8558009971224,1010.7597232073005,1118.4423756185956,2714.6943209591777,2142.170867184745,1046.8206800712503,504.9083909521198,440.6527338389723,1148.942494091537,663.0023272976774,287.2222222222223,10943,380.96258832736834,22381.35452476883,5775.027868410809,5.101419448852539
1619.0720058580837,529.3598387860935,2317.565383547493,3903.6066768816463,3844.4595549242254,2056.436373130696,1009.4883566967422,565.3115526712241,1475.270275086032,1046.5310194591743,659.3513196291727,911.9466860630891,1109.406253203102,2635.294691798428,2206.008193873199,1111.4468192684565,589.1861023813726,334.2443498818107,1253.7983631578707,753.7791070295442,326.23333333333335,11733,384.91410156018,21694.145056383284,5903.564407688734,5.20160698890686
2115.219098191862,1022.5411893669022,1726.9619285115382,4469.588090849177,3716.2059258042977,1839.7889598835397,489.0562185903759,628.1121962785213,955.4966218715981,567.8992546969023,267.6157180335595,442.69329101105615,1018.3005844938644,2494.028775681404,2744.7720849325756,1678.9804959930293,779.0551046344625,659.7555536228401,1551.2715669410775,1112.6092624510209,335.9027777777778,12328,395.94725646228596,20791.4959104975,6095.005175607441,5.301965951919556
2109.3631789706023,997.5443672267271,1645.8171112679888,4642.8130061018,3688.8875071240545,1693.118572640507,226.914302506368,497.2151443415763,921.4498825344557,637.9856380403935,601.0757226600094,551.0745794394059,479.87222935949075,3084.797962277536,2563.483534896422,1250.5853988036847,428.1144462670846,295.60184883149356,1486.647169865164,1158.1349244891476,362.5,12278,364.30254188883157,20614.85531045151,5992.214237479969,5.402170658111572
2035.3481429776175,888.6198419415159,1625.425275895234,4818.020556873992,3701.2524221538897,1588.319495414788,181.97824647199997,422.48309887417224,1063.7723352590856,827.7853085098513,498.2967923156977,454.5743887883931,584.9828519861824,3011.708561006447,2658.424518964073,1347.9344628610165,341.93308681178013,392.2534749431295,1392.4957769300647,1076.7737870664703,394.5,12066,371.9556566807173,20654.718894107617,5978.922740908161,5.502425909042358
2004.3928368337292,875.4944735134826,1524.8661234344318,5057.343397709936,3556.542546428727,1349.2441116195816,422.1758913807472,187.6771497938513,1264.9998180719374,916.2615633918166,729.5247508485619,683.8534072611137,440.10418088030934,2962.936543777643,2532.8943140130978,1411.30691666803,443.4595722210185,516.9528706178249,1248.0696463177665,915.6490423841944,342.79166666666663,11838,371.19700066578554,20297.611262212093,5736.533312054446,5.602559328079224
2343.545603915815,1566.995713627596,849.2222245853463,5525.259031199925,2725.7353869697376,1344.4562124148574,906.463913500624,774.8687057833693,685.0637182359768,345.3416745125726,517.9235114307106,551.9117290315289,338.2861908019071,3233.0011715727546,2249.86337868348,1287.6088335902684,765.5248596888068,761.0932037407548,991.827601738403,603.5798873394177,360.52777777777777,10902,299.1298804357589,20538.578252444753,5599.86568875125,5.702789783477783
2071.117462982772,1161.8528665914903,1240.113495352522,5663.873950681296,2789.870838031987,946.1104570325532,1173.0518770196823,898.0990891434409,912.9597806570016,98.20765222677427,286.67203802217495,591.0437604364673,708.5822571228732,3831.0186490267283,1721.768997013953,1175.0469912394951,1353.9373192594753,1277.1767849492708,766.2312725358482,446.381014776539,372.5,11312,336.1019184127001,21118.966290906297,6280.120143054353,5.802813529968262
2071.117462982772,1161.8528665914903,1240.113495352522,5663.873950681296,2789.870838031987,946.1104570325532,1173.0518770196823,898.0990891434409,912.9597806570016,98.20765222677427,286.67203802217495,591.0437604364673,708.5822571228732,3831.0186490267283,1721.768997013953,1175.0469912394951,1353.9373192594753,1277.1767849492708,766.2312725358482,446.381014776539,372.5,11312,336.1019184127001,21118.966290906297,6280.120143054353,5.902912378311157
