tribo_f1,tribo_f2,tribo_f3,tribo_f4,tribo_f5,tribo_f6,tribo_f7,tribo_f8,tribo_f9,tribo_f10,diff_tribo_f1,diff_tribo_f2,diff_tribo_f3,diff_tribo_f4,diff_tribo_f5,diff_tribo_f6,diff_tribo_f7,diff_tribo_f8,diff_tribo_f9,diff_tribo_f10,tribo_feature1,tribo_feature2,tribo_feature3,tribo_feature4,tribo_feature5,Temps
367.53313058168544,903.5478077121521,1239.1921197028335,1241.789778028322,605.2063008813922,909.7229948657193,470.48839747897836,813.6638853701163,355.0921080635184,393.1523133015537,397.3421136829762,377.24445576930253,306.2370119586393,682.6608394858594,122.63209418305132,542.5352911709467,284.6539420603941,618.7378941588183,144.82555529310494,214.25259076394553,123.9,2889,149.02441867090621,6859.016770574616,2316.071988824644,4.000000476837158
1080.9574009534576,1577.2789840688781,1408.4745623847189,1671.1918549716663,538.6699002338213,799.1366887822724,246.66311466350567,185.7897401807427,274.3379731277538,173.07967596064228,487.33427810616803,423.21498170217376,217.89762250494118,614.1355424102043,50.164213423076546,423.02373440978187,408.8779223683081,660.8203743436666,282.8747603567381,234.08110160928337,103.87777777777777,3661,156.11032672486238,6969.123155356005,2498.647489563392,4.100151538848877
1275.603953584558,1718.581354019824,1390.9047067235856,1670.548904279825,478.7347061158152,638.7470324589415,387.83142835224606,325.33900283581335,330.15172272675073,198.03879896967126,295.4591503767149,388.77097500777785,426.8552994823019,808.0936002000975,198.40238801676733,576.5712730701899,223.30312603142835,430.77335682237486,197.42464019723508,54.42828067584588,132.26666666666665,3866,157.2482505088574,6777.504558799083,2673.3908987140785,4.200152397155762
1527.2103977048043,1863.2245707587965,1293.0118825058373,1550.8096539095243,323.04205078739756,395.72115341506736,450.5736593416999,546.9107063471926,235.2848697688078,165.88011333570734,302.54323304062274,388.73555032756127,416.9028556814503,797.2006481112736,185.29217292710985,566.6547960618462,229.41780188095677,451.5907769867362,180.20502340810768,29.70118452581223,113.3,4109,170.4064232445176,7504.299203666437,2631.94553425609,4.300348281860352
1980.323969607099,2067.14205262972,1015.5730027430291,1163.8530361710857,209.4996020516582,546.6714565532052,431.25812080645767,677.895362496432,242.97975919854764,348.84374327343295,487.2357627775683,278.7822465249145,321.48818355673336,692.787893463514,352.91111705575315,792.5568357062389,28.049832094118575,319.18923919610967,306.07624390725346,251.99463710704595,113.3,4587,170.60751602201748,7107.539067346106,2891.966837222364,4.400581359863281
2413.3759359051987,2225.213760337712,707.794554390634,707.7785507576119,537.1882490714918,1003.413837479409,437.13502929455456,573.6922994741296,517.152266364064,505.91595897823737,441.2382607289989,324.370789786942,283.25276692949797,649.412281904602,310.3451904204477,777.5804885597764,45.98424983271619,368.35308134810424,319.80977155916264,304.9617882036705,156.7,5042,192.07468814124383,7779.5714711880355,2898.229475251571,4.5007665157318115
3506.5252763899025,2500.088057498642,567.3649082681279,838.6125278284861,1237.5499831850866,1526.0253532360457,676.2045548774181,433.5935757138349,534.3163797187834,354.552301690923,531.9150044170265,291.7204587549284,343.63190074975904,736.973326061734,497.70912877451065,879.352477435823,225.75757084983954,285.803781514666,266.0401543388556,13.905549565580674,114.3,6263,182.41631736444617,9006.082664380257,2932.208011481294,4.601053714752197
3506.5252763899025,2500.088057498642,567.3649082681279,838.6125278284861,1237.5499831850866,1526.0253532360457,676.2045548774181,433.5935757138349,534.3163797187834,354.552301690923,531.9150044170265,291.7204587549284,343.63190074975904,736.973326061734,497.70912877451065,879.352477435823,225.75757084983954,285.803781514666,266.0401543388556,13.905549565580674,114.3,6263,182.41631736444617,9006.082664380257,2932.208011481294,4.701185941696167
3737.7295170157986,2518.4774257441313,730.0672404458454,1106.8697599059442,1259.1050198796652,1406.7910293267803,639.5755412816304,508.45499083178487,338.51493006431866,259.1469192105927,481.2004626939848,535.3577282540233,181.5593512110199,596.9152224311952,719.1950424080744,1127.3349399977917,462.1474682832943,347.51877851129035,437.3832271163564,238.06255866171816,163.7,6531,186.310048152181,8356.309103643636,3166.511765131475,4.801374197006226
3916.1217188705823,2480.570852246444,829.1296374882207,1270.6267393950557,1135.0450955359165,1179.5186903930191,446.3240761061467,380.86898665801766,164.96516167955795,24.386212734838278,450.55859449921803,429.74346764586346,132.52979563009694,508.0906873530873,680.9731553650155,1195.1830943117225,528.1488171817006,369.11497030895407,581.191720681368,388.0768416006159,154.5111111111111,6767,201.3249174183975,11103.569697134368,3041.385143258901,4.901538610458374
